"","Water.System.No.","Unnamed","Regulating.Agency","System.Name","Fed.Type","State.Type","DS.Class","Max.TP.Class","Fee.Code","SC","Pop","Last.SNSV","tag","log.SC"
"1",1500579,2158,"DISTRICT 19 - TEHACHAPI","LIFE WATER CO-OP","C","C","D1","TD","SC",18,27,"12/6/2017","Bin A",1.25527250510331
"2",400155,1875,"LPA34 - BUTTE COUNTY","BIGGERS GLEN MUTUAL WATER CO","C","C","D1","TD","SC",29,25,"5/29/2019","Bin A",1.46239799789896
"3",1800534,1252,"DISTRICT 02 - LASSEN","SPAULDING EAGLE LAKE MWC","C","C","D1","TD","SC",82,289,"7/26/2018","Bin A",1.91381385238372
"4",4200693,1464,"LPA72 - SANTA BARBARA COUNTY","ELLWOOD MUTUAL WATER CO.","C","C","D1","T1","SC",56,186,"11/21/2019","Bin A",1.7481880270062
"5",310011,689,"DISTRICT 10 - STOCKTON","FIRST MACE MEADOW # 1","C","C","D1","There are no treatment plants","SC",337,838,"6/18/2019","Bin A",2.52762990087134
"6",2700541,2212,"LPA57 - MONTEREY COUNTY","DEL MONTE FARMS RD WS #03","C","C","D1","There are no treatment plants","SC",16,55,"10/16/2017","Bin A",1.20411998265592
"7",5500071,1143,"DISTRICT 11 - MERCED","RAWHIDE INVESTMENT COMPANY","C","C","D1","TD","SC",100,269,"12/5/2017","Bin A",2
"8",1200547,1755,"DISTRICT 01 - KLAMATH","MILL CREEK M.W.C.","C","C","D1","There are no treatment plants","SC",36,65,"5/24/2018","Bin A",1.55630250076729
"9",2701040,1998,"LPA57 - MONTEREY COUNTY","MCCOY RD WS #05","C","C","D1","There are no treatment plants","SC",24,72,"8/26/2016","Bin A",1.38021124171161
"10",2510002,744,"DISTRICT 01 - KLAMATH","CEDARVILLE COUNTY WATER DIST.","C","C","D1","There are no treatment plants","SC",290,500,"6/24/2019","Bin A",2.46239799789896
"11",707519,2153,"LPA37 - CONTRA COSTA COUNTY","DUTCH SLOUGH WATER WORKS","C","C","D1","There are no treatment plants","SC",18,49,"9/12/2018","Bin A",1.25527250510331
"12",5310002,564,"DISTRICT 01 - KLAMATH","TRINITY CO. W.W. DIST #1","C","C","D2","T3","DAVCS",580,1775,"12/10/2019","Bin A",2.76342799356294
"13",4900639,2171,"DISTRICT 18 - SONOMA","REDWOOD HEIGHTS MUTUAL WATER COMPANY","C","C","D1","TD","SC",18,30,"6/15/2020","Bin A",1.25527250510331
"14",5403113,1807,"DISTRICT 24 - TULARE","SOUTH FORK ESTATES MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",33,92,"9/20/2018","Bin A",1.51851393987789
"15",4900653,1909,"DISTRICT 18 - SONOMA","LONE PINE MUTUAL WATER COMPANY","C","C","D1","TD","SC",28,65,"10/27/2017","Bin A",1.44715803134222
"16",5400665,651,"DISTRICT 12 - VISALIA","DEL ORO RIVER ISLAND SERV TERR #1","C","C","D1","There are no treatment plants","SC",390,1287,"12/5/2018","Bin A",2.5910646070265
"17",3910701,1347,"DISTRICT 10 - STOCKTON","DEFENSE DISTRIB. DEPOT, SHARPE SITE","C","C","D1","T2","SC",70,500,"2/28/2019","Bin A",1.84509804001426
"18",1800512,927,"DISTRICT 02 - LASSEN","CLEAR CREEK CSD-WESTWOOD","C","C","D1","There are no treatment plants","DAVCS",166,400,"9/9/2019","Bin A",2.22010808804005
"19",3000585,1760,"DISTRICT 08 - SANTA ANA","PAGE AVENUE MUTUAL WATER COMPANY","C","C","D1","TD","SC",36,115,"4/18/2019","Bin A",1.55630250076729
"20",1910081,613,"DISTRICT 16 - CENTRAL","LYNWOOD PARK MUTUAL WATER CO.","C","C","D1","T1","SC",470,2300,"6/27/2018","Bin A",2.67209785793572
"21",900102,1693,"LPA39 - EL DORADO COUNTY","GOLD BEACH PARK","C","C","NR","T1","SC",40,100,"7/3/2019","Bin A",1.60205999132796
"22",3301280,1705,"LPA63 - RIVERSIDE COUNTY","GOLDEN ERA PRODUCTIONS","C","C","D1","T1","SC",40,500,"5/15/2019","Bin A",1.60205999132796
"23",4510009,646,"DISTRICT 02 - LASSEN","SHASTA FOREST VILLAGE M.W.C.","C","C","D1","There are no treatment plants","SC",399,750,"7/2/2018","Bin A",2.60097289568675
"24",3600200,1023,"LPA66 - SAN BERNARDINO COUNTY","RANCHERITOS MWC","C","C","D1","There are no treatment plants","SC",131,655,"8/7/2018","Bin A",2.11727129565576
"25",3700919,1003,"DISTRICT 14 - SAN DIEGO","LAKE WOHLFORD RESORT","C","C","D1","T2","SC",137,250,"6/6/2018","Bin A",2.13672056715641
"26",5410503,1043,"DISTRICT 12 - VISALIA","NPS-WOLVERTON","C","C","D2","T2","SC",125,2940,"7/17/2018","Bin A",2.09691001300806
"27",1500458,1990,"DISTRICT 19 - TEHACHAPI","R.S. MUTUAL WATER COMPANY","C","C","D1","TD","SC",24,67,"4/19/2018","Bin A",1.38021124171161
"28",4900552,1412,"DISTRICT 18 - SONOMA","MICHELE MUTUAL WATER COMPANY","C","C","D1","TD","SC",62,170,"10/22/2019","Bin A",1.79239168949825
"29",1500442,2091,"DISTRICT 19 - TEHACHAPI","SUNSET APARTMENTS WS","C","C","D1","There are no treatment plants","SC",20,37,"11/21/2019","Bin A",1.30102999566398
"30",1500333,1238,"DISTRICT 19 - TEHACHAPI","CWS - FREMONT VALLEY","C","C","D1","TD","SC",84,116,"10/30/2018","Bin A",1.92427928606188
"31",1500599,2159,"DISTRICT 12 - VISALIA","CHOCTAW VALLEY MUTUAL WATER CO.","C","C","D1","T1","SC",18,44,"11/28/2018","Bin A",1.25527250510331
"32",2710020,618,"DISTRICT 05 - MONTEREY","PAJARO COMMUNITY SERVICES DISTRICT","C","C","D2","TD","SC",457,6500,"2/11/2019","Bin A",2.65991620006985
"33",5403212,1839,"DISTRICT 24 - TULARE","MONSON WATER SYSTEM","C","C","D1","TD","DAVCS",32,140,"1/17/2019","Bin A",1.50514997831991
"34",600012,1209,"DISTRICT 21 - VALLEY","COLUSA CO. SERVICE AREA #1-CENTURY RANCH","C","C","D1","T2","SC",88,246,"5/30/2019","Bin A",1.94448267215017
"35",3901075,1685,"LPA69 - SAN JOAQUIN COUNTY","FAIRWAY ESTATES PWS CSA-18","C","C","D1","There are no treatment plants","SC",41,68,"12/6/2017","Bin A",1.61278385671974
"36",3610046,823,"DISTRICT 13 - SAN BERNARDINO","VALLEY VIEW PARK MWC","C","C","D1","TD","SC",218,499,"7/11/2017","Bin A",2.3384564936046
"37",1200671,1008,"DISTRICT 01 - KLAMATH","BENBOW-DEL ORO W.C.","C","C","D1","T2","SC",135,150,"6/17/2020","Bin A",2.13033376849501
"38",4900794,1669,"DISTRICT 18 - SONOMA","SUNSET PARK COMMUNITY","C","C","D1","TD","SC",42,141,"8/28/2017","Bin A",1.6232492903979
"39",3301879,792,"DISTRICT 20 - RIVERSIDE","SHARONDALE MESA HOA","C","C","D1","TD","SC",243,330,"9/25/2017","Bin A",2.38560627359831
"40",400151,1469,"LPA34 - BUTTE COUNTY","KEEFER CREEK ESTATES","C","C","D1","There are no treatment plants","SC",55,160,"5/29/2019","Bin A",1.74036268949424
"41",3110035,574,"DISTRICT 02 - LASSEN","WEIMAR WATER COMPANY","C","C","D2","T3","SC",550,1500,"3/28/2018","Bin A",2.74036268949424
"42",4100538,1391,"DISTRICT 17 - SANTA CLARA","CAMP JONES GULCH","C","C","D1","T2","SC",65,357,"7/23/2019","Bin A",1.81291335664286
"43",1910160,467,"DISTRICT 07 - HOLLYWOOD","TRACT 349 MUTUAL WATER CO.","C","C","D3","TD","DAVCS",919,7500,"7/27/2018","Bin A",2.96331551138611
"44",1910158,859,"LPA49 - LA COUNTY","STERLING MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",196,548,"3/28/2019","Bin A",2.29225607135648
"45",3100041,1026,"LPA61 - PLACER COUNTY","ALPINE MEADOWS PROPERTY OWNERS ASSO","C","C","D1","T3","SC",129,250,"12/11/2018","Bin A",2.11058971029925
"46",1400004,1699,"LPA44 - INYO COUNTY","CHARLES BROWN WATER COMPANY","C","C","D1","T1","SC",40,242,"9/24/2019","Bin A",1.60205999132796
"47",1500553,1991,"DISTRICT 12 - VISALIA","RANCHOS DEL RIO","C","C","D1","There are no treatment plants","SC",24,62,"3/25/2020","Bin A",1.38021124171161
"48",3900983,1650,"LPA69 - SAN JOAQUIN COUNTY","CHERRY LANE TRAILER PARK","C","C","D1","There are no treatment plants","SC",43,100,"12/15/2017","Bin A",1.63346845557959
"49",4900644,1850,"DISTRICT 18 - SONOMA","BRIDGEHAVEN PARK","C","C","D1","T2","SC",31,70,"3/21/2019","Bin A",1.49136169383427
"50",5400718,1552,"DISTRICT 24 - TULARE","WILLIAMS MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",50,180,"12/10/2019","Bin A",1.69897000433602
"51",1900062,2050,"LPA49 - LA COUNTY","LOS ANGELES RESIDENTIAL COMMUNITY FOUNDA","C","C","D1","There are no treatment plants","SC",22,184,"5/4/2020","Bin A",1.34242268082221
"52",4800589,2286,"DISTRICT 04 - SAN FRANCISCO","CRESTA MESA PARQUE","C","C","D1","There are no treatment plants","SC",14,25,"9/26/2018","Bin A",1.14612803567824
"53",3900505,1256,"LPA69 - SAN JOAQUIN COUNTY","FARMINGTON WATER COMPANY","C","C","D1","There are no treatment plants","SC",82,270,"7/7/2017","Bin A",1.91381385238372
"54",5200575,2319,"LPA82 - TEHAMA COUNTY","RANCHO COLORADO WS","C","C","D1","There are no treatment plants","SC",12,36,"2/27/2018","Bin A",1.07918124604762
"55",3103836,934,"LPA61 - PLACER COUNTY","HIDDEN VALLEY COMMUNITY ASSOCIATION","C","C","D1","There are no treatment plants","SC",164,499,"12/18/2019","Bin A",2.2148438480477
"56",2300596,2125,"DISTRICT 03 - MENDOCINO","BIG RIVER VISTA MUTUAL WATER COMPANY","C","C","D1","T1","SC",19,36,"2/26/2018","Bin A",1.27875360095283
"57",2700691,2214,"LPA57 - MONTEREY COUNTY","PESANTE RD WS #06","C","C","D1","There are no treatment plants","SC",16,48,"10/15/2018","Bin A",1.20411998265592
"58",5301103,1673,"DISTRICT 01 - KLAMATH","COVINGTON MILL - A","C","C","NR","There are no treatment plants","SC",42,58,"10/9/2018","Bin A",1.6232492903979
"59",2300507,903,"DISTRICT 03 - MENDOCINO","CALPELLA COUNTY WATER DISTRICT","C","C","D1","There are no treatment plants","DAVCS",176,548,"7/3/2019","Bin A",2.24551266781415
"60",5500060,950,"DISTRICT 11 - MERCED","MI WUK HEIGHTS MWC","C","C","D1","There are no treatment plants","SC",158,352,"11/13/2018","Bin A",2.19865708695442
"61",4000789,2386,"LPA70 - SAN LUIS OBISPO COUNTY","SPANISH LAKES MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",1,40,"4/11/2018","Bin A",0
"62",3301107,877,"LPA63 - RIVERSIDE COUNTY","CARVER TRACT MUTUAL WATER COMP","C","C","D1","There are no treatment plants","SC",188,300,"8/14/2019","Bin A",2.27415784926368
"63",4300716,2059,"DISTRICT 17 - SANTA CLARA","LUPIN LODGE","C","C","D1","T2","SC",22,300,"8/7/2018","Bin A",1.34242268082221
"64",5500096,1609,"DISTRICT 11 - MERCED","SIERRA TWAIN HARTE MHP","C","C","D1","TD","SC",46,129,"8/9/2019","Bin A",1.66275783168157
"65",3710802,2351,"DISTRICT 14 - SAN DIEGO","LA CIMA FIRE CENTER","C","C","D1","T1","SC",8,90,"10/25/2017","Bin A",0.903089986991944
"66",1503509,2369,"DISTRICT 12 - VISALIA","THE ANNE SIPPI CLINIC-RIVERSIDE RANCH","C","C","D1","TD","SC",2,35,"11/28/2018","Bin A",0.301029995663981
"67",5200574,1775,"DISTRICT 21 - VALLEY","DEL ORO WC - LARKSPUR MEADOWS","C","C","D1","There are no treatment plants","SC",35,122,"5/6/2020","Bin A",1.54406804435028
"68",4410001,558,"DISTRICT 05 - MONTEREY","BIG BASIN WATER COMPANY","C","C","D3","T2","SC",593,1650,"10/17/2018","Bin A",2.77305469336426
"69",3700905,798,"DISTRICT 14 - SAN DIEGO","PINE HILLS MUTUAL WATER COMPANY","C","C","D1","T2","SC",236,760,"7/17/2018","Bin A",2.37291200297011
"70",1610006,666,"DISTRICT 12 - VISALIA","STRATFORD PUD","C","C","D2","TD","DAVCS",364,1301,"11/13/2018","Bin A",2.56110138364906
"71",1500591,2250,"DISTRICT 19 - TEHACHAPI","SWEET WATER CO-OP","C","C","D1","There are no treatment plants","SC",15,47,"10/31/2018","Bin A",1.17609125905568
"72",1500447,1426,"DISTRICT 19 - TEHACHAPI","SIERRA BREEZE MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",60,150,"12/20/2018","Bin A",1.77815125038364
"73",1502164,1473,"DISTRICT 12 - VISALIA","LLANAS CAMP FOUR WATER SYSTEM","C","C","D1","TD","DAVCS",55,54,"12/14/2017","Bin A",1.74036268949424
"74",2800040,2370,"LPA58 - NAPA COUNTY","MONDAVI FARM WORKER CENTER","C","C","D1","TD","SC",2,63,"4/28/2020","Bin A",0.301029995663981
"75",1500252,1578,"DISTRICT 19 - TEHACHAPI","KERN VALLEY MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",47,47,"4/12/2018","Bin A",1.67209785793572
"76",1503226,1356,"DISTRICT 19 - TEHACHAPI","QVWD-WEST & EAST COMBINED WATER SYSTEM","C","C","D1","TD","SC",68,205,"12/19/2018","Bin A",1.83250891270624
"77",4100551,2345,"DISTRICT 17 - SANTA CLARA","MARCHI CENTRAL FARM","C","C","D1","TD","SC",9,50,"2/19/2020","Bin A",0.954242509439325
"78",2701403,2189,"LPA57 - MONTEREY COUNTY","PINE ST WS #01","C","C","D1","There are no treatment plants","SC",17,36,"9/11/2017","Bin A",1.23044892137827
"79",3500912,1803,"DISTRICT 05 - MONTEREY","COMSTOCK MUTUAL WATER COMPANY","C","C","D1","TD","SC",33,100,"7/10/2019","Bin A",1.51851393987789
"80",3410022,851,"DISTRICT 09 - SACRAMENTO","OLYMPIA MOBILODGE","C","C","D1","There are no treatment plants","SC",200,450,"5/31/2019","Bin A",2.30102999566398
"81",5400647,1838,"DISTRICT 24 - TULARE","YOKOHL MUTUAL WATER CO","C","C","D1","There are no treatment plants","SC",32,95,"1/24/2020","Bin A",1.50514997831991
"82",4100522,2299,"DISTRICT 17 - SANTA CLARA","REDWOOD GLEN CAMP & CONFERENCE CTR","C","C","D1","T2","SC",13,169,"1/22/2019","Bin A",1.11394335230684
"83",1400155,2310,"DISTRICT 13 - SAN BERNARDINO","CONTROL GORGE POWER PLANT","C","C","D1","T3","SC",12,47,"10/23/2019","Bin A",1.07918124604762
"84",3400397,1902,"LPA64 - SACRAMENTO COUNTY","LAGUNA VILLAGE RV PARK","C","C",NA,"There are no treatment plants","SC",28,32,"1/15/2020","Bin A",1.44715803134222
"85",5500363,2042,"DISTRICT 11 - MERCED","TUD-WARDS FERRY RANCHES","C","C","D1","TD","SC",23,55,"11/15/2018","Bin A",1.36172783601759
"86",1500540,1726,"DISTRICT 19 - TEHACHAPI","PINON VALLEY WATER COMPANY","C","C","D1","T1","DAVCS",38,109,"8/23/2017","Bin A",1.57978359661681
"87",5510011,577,"DISTRICT 11 - MERCED","COLD SPRINGS WATER CO","C","C","D1","T2","DAVCS",533,201,"11/13/2018","Bin A",2.72672720902657
"88",2701731,1948,"LPA57 - MONTEREY COUNTY","BRANDON CREEK MWS","C","C","D1","T2","SC",26,41,"10/19/2017","Bin A",1.41497334797082
"89",3301381,1286,"LPA63 - RIVERSIDE COUNTY","CSA 51","C","C","D1","T1","SC",77,350,"6/10/2020","Bin A",1.88649072517248
"90",3310047,463,"DISTRICT 20 - RIVERSIDE","CABAZON WATER DISTRICT","C","C","D2","Operator is not required","DAVCS",933,2535,"10/11/2017","Bin A",2.9698816437465
"91",2800521,875,"LPA58 - NAPA COUNTY","CIRCLE OAKS WATER DISTRICT","C","C","D1","T2","SC",190,500,"5/5/2020","Bin A",2.27875360095283
"92",4300611,1751,"DISTRICT 17 - SANTA CLARA","CASA DE FRUTA WATER SYSTEM","C","C","D1","T1","SC",37,250,"9/6/2017","Bin A",1.56820172406699
"93",1600293,2364,"LPA46 - KINGS COUNTY","CHAMPIONS- SAMUEL'S HOUSE","C","C","D1","T1","SC",3,50,"9/12/2019","Bin A",0.477121254719662
"94",1500544,1207,"DISTRICT 12 - VISALIA","ENOS LANE PUBLIC UTILITY DISTRICT","C","C","D1","TD","SC",89,365,"7/27/2018","Bin A",1.94939000664491
"95",1700592,1147,"DISTRICT 03 - MENDOCINO","KONOCTI SHORES","C","C","D1","TD","SC",99,99,"2/5/2020","Bin A",1.99563519459755
"96",1300591,2348,"LPA43 - IMPERIAL COUNTY","IID DROP FOUR","C","C","D1","T1","SC",8,28,"5/9/2019","Bin A",0.903089986991944
"97",2300545,1583,"DISTRICT 03 - MENDOCINO","SHORELANDS ROAD & WATER COMPANY","C","C","D1","TD","SC",47,85,"4/29/2019","Bin A",1.67209785793572
"98",1000005,1364,"DISTRICT 23 - FRESNO","BIG CREEK COMMUNITY SERV DIST","C","C","D1","TD","SC",67,124,"7/19/2018","Bin A",1.82607480270083
"99",2400172,2316,"DISTRICT 11 - MERCED","JOHN LATORACCA CORRECTIONAL FACILITY","C","C","D1","T2","SC",12,800,"8/22/2018","Bin A",1.07918124604762
"100",1910010,526,"DISTRICT 22 - ANGELES","CALIFORNIA WATER SERVICE CO.-LANCASTER","C","C","D2","TD","SC",670,4806,"6/7/2018","Bin A",2.82607480270083
"101",500091,2292,"LPA35 - CALAVERAS COUNTY","RITE OF PASSAGE/SIERRA RIDGE","C","C","TD","T2","SC",13,150,"7/30/2020","Bin A",1.11394335230684
"102",1910242,845,"DISTRICT 22 - ANGELES","CALIFORNIA WATER SERVICE CO-LAKE HUGHES","C","C","D2","T2","SC",202,260,"6/7/2018","Bin A",2.30535136944662
"103",4600019,1015,"DISTRICT 02 - LASSEN","SIERRA CO. W.W.D #1 CALPINE","C","C","D1","T1","SC",134,225,"9/3/2019","Bin A",2.12710479836481
"104",5301101,1837,"DISTRICT 01 - KLAMATH","TREASURE CREEK WOODS MWC","C","C","D1","TD","SC",32,131,"5/25/2017","Bin A",1.50514997831991
"105",3600222,783,"DISTRICT 13 - SAN BERNARDINO","JUNIPER RIVIERA CWD","C","C","D1","TD","SC",250,441,"12/3/2013","Bin A",2.39794000867204
"106",5200555,2197,"LPA82 - TEHAMA COUNTY","RIO RANCH COMMUNITY SVCS DIST","C","C","D1","There are no treatment plants","SC",17,44,"2/13/2015","Bin A",1.23044892137827
"107",3610022,511,"DISTRICT 13 - SAN BERNARDINO","DWP - FAWNSKIN","C","C","D1","T2","DAVCS",717,469,"12/14/2017","Bin A",2.8555191556678
"108",3500527,2191,"DISTRICT 05 - MONTEREY","VALENZUELA WATER SYSTEM","C","C","D1","T2","DAVCS",17,55,"6/7/2018","Bin A",1.23044892137827
"109",5601104,1235,"DISTRICT 06 - SANTA BARBARA","CASITAS MUTUAL WATER COMPANY","C","C","D1","TD","SC",85,238,"10/5/2018","Bin A",1.92941892571429
"110",4100583,2327,"DISTRICT 17 - SANTA CLARA","BIANCHI FLOWERS INC","C","C","D1","TD","SC",11,65,"9/29/2017","Bin A",1.04139268515823
"111",2702405,1949,"LPA57 - MONTEREY COUNTY","JENSEN MHP WS","C","C","D1","There are no treatment plants","SC",26,56,"7/17/2017","Bin A",1.41497334797082
"112",2702521,933,"DISTRICT 05 - MONTEREY","SANTA LUCIA PRESERVE WS","C","C","D1","T2","SC",164,2184,"12/19/2017","Bin A",2.2148438480477
"113",2600532,1820,"LPA56 - MONO COUNTY","LUNDY MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",32,70,"3/20/2018","Bin A",1.50514997831991
"114",2600621,1645,"LPA56 - MONO COUNTY","WHITE MOUNTAIN MUTUAL WATER COMPANY","C","C","D1","There are no treatment plants","SC",43,142,"5/29/2019","Bin A",1.63346845557959
"115",3110048,861,"DISTRICT 02 - LASSEN","PLACER CSA - SHERIDAN","C","C","D1","TD","SC",195,726,"5/14/2019","Bin A",2.29003461136252
"116",5410801,1155,"DISTRICT 24 - TULARE","PORTERVILLE DEVELOPMENTAL CENTER","C","C","D2","T2","SC",99,1327,"5/30/2018","Bin A",1.99563519459755
"117",4000230,1490,"LPA70 - SAN LUIS OBISPO COUNTY","CANYON CREST MUTUAL BENEFIT WC","C","C","D1","There are no treatment plants","SC",54,125,"4/5/2018","Bin A",1.73239375982297
"118",1200587,1939,"DISTRICT 01 - KLAMATH","BRICELAND C.S.D.","C","C","D1","T2","SC",26,75,"1/30/2020","Bin A",1.41497334797082
"119",5400735,1779,"DISTRICT 24 - TULARE","RODRIGUEZ LABOR CAMP","C","C","D1","There are no treatment plants","SC",35,110,"8/17/2018","Bin A",1.54406804435028
"120",1000023,1680,"DISTRICT 23 - FRESNO","FCSA #14/BELMONT MANOR","C","C","D1","There are no treatment plants","SC",41,115,"8/8/2017","Bin A",1.61278385671974
"121",1600023,2069,"DISTRICT 12 - VISALIA","AZCAL MANAGEMENT CO","C","C","D1","T2","SC",21,73,"12/28/2017","Bin A",1.32221929473392
"122",4000775,2226,"LPA70 - SAN LUIS OBISPO COUNTY","MUSTANG SPRINGS MUTUAL WATER","C","C","D1","T1","SC",16,30,"5/22/2019","Bin A",1.20411998265592
"123",2701687,1604,"LPA57 - MONTEREY COUNTY","VALLEY OAKS MHP WS","C","C","D1","There are no treatment plants","SC",46,120,"7/25/2017","Bin A",1.66275783168157
"124",1000484,708,"DISTRICT 23 - FRESNO","FCSA #34/ MILLERTON NEW TOWN","C","C","D1","T2","SC",315,868,"10/3/2019","Bin A",2.4983105537896
"125",1502620,2160,"DISTRICT 12 - VISALIA","POND MUTUAL WATER COMPANY","C","C","D1","T1","DAVCS",18,48,"7/29/2020","Bin A",1.25527250510331
"126",1000551,1354,"DISTRICT 23 - FRESNO","FCSA #43/RAISIN CITY","C","C","D1","There are no treatment plants","DAVCS",68,190,"9/17/2018","Bin A",1.83250891270624
