"","X","PWSID","Regulating.Agency","Water.System.No.","Water.System.Name","Fed.Type","State.Type","DS.Class","Max.TP.Class","Fee.Code","Service.Connections","Population","Last.SNSV","completed","tag","logService.Connections"
"1",0,"CA4710002","DISTRICT 01 - KLAMATH",4710002,"DUNSMUIR, CITY OF","C","C","D2","There are no treatment plants","DAVCL",1187,1923,"2020-04-01","y","Bin B",3.07445071895459
"2",1,"CA4710008","DISTRICT 01 - KLAMATH",4710008,"MT. SHASTA, CITY OF","C","C","D2","There are no treatment plants","DAVCL",1841,3642,"2018-07-22","y","Bin B",3.26505378850401
"3",2,"CA4710011","DISTRICT 01 - KLAMATH",4710011,"YREKA, CITY OF","C","C","D2","T3","DAVCL",2993,7290,"2019-10-24","y","Bin B",3.47610671684019
"4",3,"CA1200518","DISTRICT 01 - KLAMATH",1200518,"RIVERSIDE CSD","C","C","D1","TD","SC",99,293,"2020-01-31","y","Bin A",1.99563519459755
"5",4,"CA1200538","DISTRICT 01 - KLAMATH",1200538,"MYERS FLAT M.W.S. INC.","C","C","D1","Missing treatment classification in SDWIS","DAVCS",102,400,"2017-09-25","y","Bin A",2.00860017176192
"6",5,"CA1200547","DISTRICT 01 - KLAMATH",1200547,"MILL CREEK M.W.C.","C","C","D1","There are no treatment plants","SC",36,65,"2018-05-24","y","Bin A",1.55630250076729
"7",6,"CA1200671","DISTRICT 01 - KLAMATH",1200671,"BENBOW-DEL ORO W.C.","C","C","D1","T2","SC",135,150,"2020-06-17","y","Bin A",2.13033376849501
"8",7,"CA1210006","DISTRICT 01 - KLAMATH",1210006,"FORTUNA, CITY OF","C","C","D3","T2","DAVCL",4377,11649,"2019-01-14","y","Bin C",3.64117654661311
"9",8,"CA1210012","DISTRICT 01 - KLAMATH",1210012,"RIO DELL, CITY OF","C","C","D2","Missing treatment classification in SDWIS","C1",1233,3174,"2020-06-16","y","Bin B",3.09096307659573
"10",9,"CA1210022","DISTRICT 01 - KLAMATH",1210022,"RESORT IMPROVEMENT DISTRICT #1","C","C","D2","Missing treatment classification in SDWIS","SC",620,1500,"2019-01-17","y","Bin A",2.79239168949825
"11",10,"CA2510001","DISTRICT 01 - KLAMATH",2510001,"CITY OF ALTURAS","C","C","D2","There are no treatment plants","DAVCL",1470,2537,"2019-06-24","y","Bin B",3.16731733474818
"12",11,"CA2510002","DISTRICT 01 - KLAMATH",2510002,"CEDARVILLE COUNTY WATER DIST.","C","C","D1","There are no treatment plants","SC",290,500,"2019-06-24","y","Bin A",2.46239799789896
"13",12,"CA1200587","DISTRICT 01 - KLAMATH",1200587,"BRICELAND C.S.D.","C","C","D1","T2","SC",26,75,"2020-01-30","y","Bin A",1.41497334797082
"14",13,"CA1210001","DISTRICT 01 - KLAMATH",1210001,"ARCATA, CITY OF","C","C","D3","T2","DAVCL",6134,19077,"2019-06-26","y","Bin C",3.78774377164647
"15",14,"CA1210017","DISTRICT 01 - KLAMATH",1210017,"MANILA COMMUNITY SERVICES DIST.","C","C","D1","There are no treatment plants","DAVCS",357,750,"2018-07-03","y","Bin A",2.55266821611219
"16",15,"CA1200706","DISTRICT 01 - KLAMATH",1200706,"TRINIDAD EXTENDED STAY RV","C","C","D1","T2","SC",72,130,"2020-05-19","y","Bin A",1.85733249643127
"17",16,"CA1210009","DISTRICT 01 - KLAMATH",1210009,"HUMBOLDT C.S.D.","C","C","D4","There are no treatment plants","DAVCL",7532,24885,"2020-05-20","y","Bin D",3.87691031134463
"18",17,"CA1210020","DISTRICT 01 - KLAMATH",1210020,"FIELDBROOK GLENDALE C.S.D.","C","C","D2","There are no treatment plants","SC",551,1848,"2019-12-17","y","Bin A",2.74115159885178
"19",18,"CA0800555","DISTRICT 01 - KLAMATH",800555,"GASQUET C.S.D.","C","C","D1","T2","SC",210,775,"2019-08-16","y","Bin A",2.32221929473392
"20",19,"CA5301017","DISTRICT 01 - KLAMATH",5301017,"RUSH CREEK MUTUAL WATER SYSTEM","C","C","D1","T2","SC",37,104,"2019-04-17","y","Bin A",1.56820172406699
"21",20,"CA5301101","DISTRICT 01 - KLAMATH",5301101,"TREASURE CREEK WOODS MWC","C","C","D1","TD","SC",32,131,"2017-05-25","y","Bin A",1.50514997831991
"22",21,"CA5301103","DISTRICT 01 - KLAMATH",5301103,"COVINGTON MILL - A","C","C","NR","There are no treatment plants","SC",42,58,"2018-10-09","y","Bin A",1.6232492903979
"23",22,"CA5304502","DISTRICT 01 - KLAMATH",5304502,"SALYER HEIGHTS W.S., INC","C","C","D1","T2","DAVCS",42,135,"2018-02-06","y","Bin A",1.6232492903979
"24",23,"CA5310001","DISTRICT 01 - KLAMATH",5310001,"WEAVERVILLE C.S.D.","C","C","D2","T3","DAVCL",1636,3600,"2017-12-12","y","Bin B",3.2137832993353
"25",24,"CA5310002","DISTRICT 01 - KLAMATH",5310002,"TRINITY CO. W.W. DIST #1","C","C","D2","T3","DAVCS",580,1775,"2019-12-10","y","Bin A",2.76342799356294
"26",25,"CA1810001","DISTRICT 02 - LASSEN",1810001,"CITY OF SUSANVILLE","C","C","D2","TD","DAVCL",3825,8492,"2019-06-04","y","Bin C",3.58263143948964
"27",26,"CA1800534","DISTRICT 02 - LASSEN",1800534,"SPAULDING EAGLE LAKE MWC","C","C","D1","TD","SC",82,289,"2018-07-26","y","Bin A",1.91381385238372
"28",27,"CA1800512","DISTRICT 02 - LASSEN",1800512,"CLEAR CREEK CSD-WESTWOOD","C","C","D1","There are no treatment plants","DAVCS",166,400,"2019-09-09","y","Bin A",2.22010808804005
"29",28,"CA3110001","DISTRICT 02 - LASSEN",3110001,"NORTH TAHOE PUD - MAIN","C","C","D2","T2","C1",3261,5300,"2017-09-25","y","Bin B",3.51335079880596
"30",29,"CA3110003","DISTRICT 02 - LASSEN",3110003,"FORESTHILL PUBLIC UTILITY DIST","C","C","D2","T3","DAVCL",2032,6000,"2017-05-01","y","Bin B",3.30792370361188
"31",30,"CA3110009","DISTRICT 02 - LASSEN",3110009,"MEADOW VISTA CWD","C","C","D2","T3","C1",1478,4001,"2017-05-01","y","Bin B",3.16967443405881
"32",31,"CA3110035","DISTRICT 02 - LASSEN",3110035,"WEIMAR WATER COMPANY","C","C","D2","T3","SC",550,1500,"2018-03-28","y","Bin A",2.74036268949424
"33",32,"CA3110041","DISTRICT 02 - LASSEN",3110041,"MIDWAY HEIGHTS C. W. D.","C","C","D2","There are no treatment plants","SC",438,1080,"2018-08-15","y","Bin A",2.6414741105041
"34",33,"CA3110048","DISTRICT 02 - LASSEN",3110048,"PLACER CSA - SHERIDAN","C","C","D1","TD","SC",195,726,"2019-05-14","y","Bin A",2.29003461136252
"35",34,"CA3210006","DISTRICT 02 - LASSEN",3210006,"LAKE ALMANOR COUNTRY CLUB MWC","C","C","D1","There are no treatment plants","C1",1682,6000,"2017-04-12","y","Bin B",3.22582599146189
"36",35,"CA4510009","DISTRICT 02 - LASSEN",4510009,"SHASTA FOREST VILLAGE M.W.C.","C","C","D1","There are no treatment plants","SC",399,750,"2018-07-02","y","Bin A",2.60097289568675
"37",36,"CA4510014","DISTRICT 02 - LASSEN",4510014,"BELLA VISTA WATER DISTRICT","C","C","D3","T5","C1",6360,19098,"2018-07-11","y","Bin C",3.80345711564841
"38",37,"CA4600019","DISTRICT 02 - LASSEN",4600019,"SIERRA CO. W.W.D #1 CALPINE","C","C","D1","T1","SC",134,225,"2019-09-03","y","Bin A",2.12710479836481
"39",38,"CA3100041","LPA61 - PLACER COUNTY",3100041,"ALPINE MEADOWS PROPERTY OWNERS ASSO","C","C","D1","T3","SC",129,250,"2018-12-11","y","Bin A",2.11058971029925
"40",39,"CA3103836","LPA61 - PLACER COUNTY",3103836,"HIDDEN VALLEY COMMUNITY ASSOCIATION","C","C","D1","There are no treatment plants","SC",164,499,"2019-12-18","y","Bin A",2.2148438480477
"41",40,"CA3200138","LPA62 - PLUMAS COUNTY",3200138,"MEADOW EDGE MHP","C","C","D1","There are no treatment plants","SC",54,53,"2018-04-24","y","Bin A",1.73239375982297
"42",41,"CA4510013","DISTRICT 02 - LASSEN",4510013,"SHASTA C.S.D.","C","C","D2","T3","DAVCS",480,1584,"2019-12-20","y","Bin A",2.68124123737559
"43",42,"CA4510007","DISTRICT 02 - LASSEN",4510007,"COTTONWOOD COUNTY WATER DIST.","C","C","D2","There are no treatment plants","C1",1226,3316,"2019-10-16","y","Bin B",3.0884904701824
"44",43,"CA1910002","DISTRICT 07 - HOLLYWOOD",1910002,"AMARILLO MUTUAL WATER COMPANY","C","C","D2","TD","SC",627,3134,"2018-04-18","y","Bin A",2.79726754083072
"45",44,"CA1700508","DISTRICT 03 - MENDOCINO",1700508,"GLENHAVEN MUTUAL WATER COMPANY","C","C","D1","T1","SC",125,300,"2018-12-31","y","Bin A",2.09691001300806
"46",45,"CA1710001","DISTRICT 03 - MENDOCINO",1710001,"CLEARLAKE OAKS COUNTY WATER DISTRICT","C","C","D3","T3","DAVCL",2035,2359,"2018-08-15","y","Bin B",3.30856441356124
"47",46,"CA1710003","DISTRICT 03 - MENDOCINO",1710003,"HIGHLANDS MUTUAL WATER COMPANY","C","C","D2","T4","DAVCL",2877,9494,"2016-12-09","y","Bin B",3.45893986189033
"48",47,"CA1710008","DISTRICT 03 - MENDOCINO",1710008,"NICE MUTUAL WATER COMPANY","C","C","D2","T4","DAVCL",1064,2731,"2020-01-09","y","Bin B",3.02694162795903
"49",48,"CA1710015","DISTRICT 03 - MENDOCINO",1710015,"HIDDEN VALLEY LAKE CSD","C","C","D2","T2","C1",2487,8207,"2017-05-31","y","Bin B",3.39567578526994
"50",49,"CA1710021","DISTRICT 03 - MENDOCINO",1710021,"LAKE COUNTY CSA 21 - NORTH LAKEPORT","C","C","D2","T3","DAVCL",1196,2759,"2018-11-13","y","Bin B",3.07773117965239
"51",50,"CA2300506","DISTRICT 03 - MENDOCINO",2300506,"MEADOW ESTATES MUTUAL","C","C","D1","T1","SC",35,100,"2019-05-30","y","Bin A",1.54406804435028
"52",51,"CA2300507","DISTRICT 03 - MENDOCINO",2300507,"CALPELLA COUNTY WATER DISTRICT","C","C","D1","There are no treatment plants","DAVCS",176,548,"2019-07-03","y","Bin A",2.24551266781415
"53",52,"CA2300545","DISTRICT 03 - MENDOCINO",2300545,"SHORELANDS ROAD & WATER COMPANY","C","C","D1","TD","SC",47,85,"2019-04-29","y","Bin A",1.67209785793572
"54",53,"CA2300596","DISTRICT 03 - MENDOCINO",2300596,"BIG RIVER VISTA MUTUAL WATER COMPANY","C","C","D1","T1","SC",19,36,"2018-02-26","y","Bin A",1.27875360095283
"55",54,"CA2300708","DISTRICT 03 - MENDOCINO",2300708,"RIDGEWOOD WATER SYSTEM","C","C","D1","T1","SC",167,220,"2018-07-26","y","Bin A",2.22271647114758
"56",55,"CA2310001","DISTRICT 03 - MENDOCINO",2310001,"FORT BRAGG, CITY OF","C","C","D2","T3","DAVCL",2944,7250,"2017-08-16","y","Bin B",3.46893780566546
"57",56,"CA2310003","DISTRICT 03 - MENDOCINO",2310003,"UKIAH, CITY OF","C","C","D3","T3","DAVCL",4781,16185,"2018-05-30","y","Bin C",3.67951874369579
"58",57,"CA2310005","DISTRICT 03 - MENDOCINO",2310005,"WILLOW COUNTY WATER DISTRICT","C","C","D3","T1","DAVCL",1070,3797,"2019-06-04","y","Bin B",3.02938377768521
"59",58,"CA2310006","DISTRICT 03 - MENDOCINO",2310006,"MILLVIEW COUNTY WATER DISTRICT","C","C","D3","T3","C1",1534,5500,"2018-03-14","y","Bin B",3.18582535961296
"60",59,"CA2800625","DISTRICT 03 - MENDOCINO",2800625,"ADVENTIST HEALTH - ST. HELENA HOSPITAL","C","C","D1","T1","SC",227,860,"2019-03-11","y","Bin A",2.35602585719312
"61",60,"CA2800040","LPA58 - NAPA COUNTY",2800040,"MONDAVI FARM WORKER CENTER","C","C","D1","TD","SC",2,63,"2020-04-28","y","Bin A",0.301029995663981
"62",61,"CA2800521","LPA58 - NAPA COUNTY",2800521,"CIRCLE OAKS WATER DISTRICT","C","C","D1","T2","SC",190,500,"2020-05-05","y","Bin A",2.27875360095283
"63",62,"CA0710002","DISTRICT 04 - SAN FRANCISCO",710002,"GOLDEN STATE WATER COMPANY - BAY POINT","C","C","D3","T1","C1",5030,22295,"2017-11-14","y","Bin C",3.70156798505593
"64",63,"CA0710002","DISTRICT 04 - SAN FRANCISCO",710002,"GOLDEN STATE WATER COMPANY - BAY POINT","C","C","D3","T1","C1",5030,22295,"2017-11-14","y","Bin C",3.70156798505593
"65",64,"CA0110011","DISTRICT 04 - SAN FRANCISCO",110011,"CITY OF LIVERMORE","C","C","D4","There are no treatment plants","C1",9698,30000,"2018-10-24","y","Bin D",3.98668217977951
"66",65,"CA0710006","DISTRICT 04 - SAN FRANCISCO",710006,"CITY OF MARTINEZ","C","C","D3","T5","C1",9944,35375,"2017-12-06","y","Bin D",3.99756111563359
"67",66,"CA3810700","DISTRICT 04 - SAN FRANCISCO",3810700,"PRESIDIO OF SAN FRANCISCO","C","C","D2","T3","C1",1191,3500,"2018-06-19","y","Bin B",3.07591176148278
"68",67,"CA4810001","DISTRICT 04 - SAN FRANCISCO",4810001,"CITY OF BENICIA","C","C","D3","T4","C1",9814,28000,"2017-03-23","y","Bin D",3.9918460536449
"69",68,"CA4810004","DISTRICT 04 - SAN FRANCISCO",4810004,"CITY OF RIO VISTA","C","C","D2","T2","C1",5145,9416,"2019-08-21","y","Bin C",3.71138537909845
"70",69,"CA4810005","DISTRICT 04 - SAN FRANCISCO",4810005,"SUISUN-SOLANO WATER AUTHORITY","C","C","D4","T4","C1",8436,29917,"2018-12-12","y","Bin D",3.92613657106745
"71",70,"CA4810010","DISTRICT 04 - SAN FRANCISCO",4810010,"SID - GIBSON CANYON","C","C","D1","T3","SC",137,452,"2018-11-07","y","Bin A",2.13672056715641
"72",71,"CA4810013","DISTRICT 04 - SAN FRANCISCO",4810013,"RURAL NORTH VACAVILLE WATER DISTRICT","C","C","D1","TD","SC",398,1130,"2017-04-17","y","Bin A",2.59988307207369
"73",72,"CA2701403","LPA57 - MONTEREY COUNTY",2701403,"PINE ST WS #01","C","C","D1","There are no treatment plants","SC",17,36,"2017-09-11","y","Bin A",1.23044892137827
"74",73,"CA2702521","DISTRICT 05 - MONTEREY",2702521,"SANTA LUCIA PRESERVE WS","C","C","D1","T2","SC",164,2184,"2017-12-19","y","Bin A",2.2148438480477
"75",74,"CA2710005","DISTRICT 05 - MONTEREY",2710005,"CASTROVILLE COMMUNITY SERVICES DISTRICT","C","C","D2","T2","DAVCL",2084,10000,"2017-07-12","y","Bin B",3.31889771462749
"76",75,"CA2710007","DISTRICT 05 - MONTEREY",2710007,"GONZALES, CITY OF","C","C","D2","TD","C1",1912,8549,"2018-02-08","y","Bin B",3.28148788794008
"77",76,"CA2710008","DISTRICT 05 - MONTEREY",2710008,"GREENFIELD, CITY OF","C","C","D3","T1","DAVCL",3720,17517,"2018-04-16","y","Bin C",3.5705429398819
"78",77,"CA2710011","DISTRICT 05 - MONTEREY",2710011,"SOLEDAD, CITY OF","C","C","D3","TD","C1",3948,16729,"2020-06-08","y","Bin C",3.5963771439976
"79",78,"CA2710017","DISTRICT 05 - MONTEREY",2710017,"MARINA COAST WATER DISTRICT","C","C","D4","TD","C1",8295,35361,"2017-10-26","y","Bin D",3.91881639036038
"80",79,"CA2710020","DISTRICT 05 - MONTEREY",2710020,"PAJARO COMMUNITY SERVICES DISTRICT","C","C","D2","TD","SC",457,6500,"2019-02-11","y","Bin A",2.65991620006985
"81",80,"CA3500912","DISTRICT 05 - MONTEREY",3500912,"COMSTOCK MUTUAL WATER COMPANY","C","C","D1","TD","SC",33,100,"2019-07-10","y","Bin A",1.51851393987789
"82",81,"CA3510001","DISTRICT 05 - MONTEREY",3510001,"HOLLISTER, CITY OF","C","C","D3","TD","C1",6996,19281,"2018-11-16","y","Bin D",3.84484980080664
"83",82,"CA3510003","DISTRICT 05 - MONTEREY",3510003,"SUNNYSLOPE COUNTY WATER DIST","C","C","D3","T2","C1",5485,19189,"2017-06-21","y","Bin C",3.73917663191073
"84",83,"CA3510004","DISTRICT 05 - MONTEREY",3510004,"AROMAS WATER DISTRICT","C","C","D2","T1","SC",964,2988,"2019-11-01","y","Bin A",2.98407703390283
"85",84,"CA4400642","DISTRICT 05 - MONTEREY",4400642,"CATHEDRAL WOOD MUTUAL WATER COMPANY","C","C","D1","T2","SC",20,60,"2019-12-11","y","Bin A",1.30102999566398
"86",85,"CA4410008","DISTRICT 05 - MONTEREY",4410008,"MT. HERMON ASSOCIATION, INC.","C","C","D2","TD","SC",494,2400,"2019-03-25","y","Bin A",2.69372694892365
"87",86,"CA4410013","DISTRICT 05 - MONTEREY",4410013,"SCOTTS VALLEY WATER DISTRICT","C","C","D4","T2","C1",3812,10709,"2019-03-15","y","Bin C",3.58115289196629
"88",87,"CA2700541","LPA57 - MONTEREY COUNTY",2700541,"DEL MONTE FARMS RD WS #03","C","C","D1","There are no treatment plants","SC",16,55,"2017-10-16","y","Bin A",1.20411998265592
"89",88,"CA2700663","LPA57 - MONTEREY COUNTY",2700663,"MURPHY HILL WS #02","C","C","D1","There are no treatment plants","SC",20,60,"2017-08-22","y","Bin A",1.30102999566398
"90",89,"CA2700691","LPA57 - MONTEREY COUNTY",2700691,"PESANTE RD WS #06","C","C","D1","There are no treatment plants","SC",16,48,"2018-10-15","y","Bin A",1.20411998265592
"91",90,"CA2700771","LPA57 - MONTEREY COUNTY",2700771,"SPRINGFIELD WATER COMPANY","C","C","D1","There are no treatment plants","SC",42,200,"2017-09-07","y","Bin A",1.6232492903979
"92",91,"CA2701423","LPA57 - MONTEREY COUNTY",2701423,"ECHO VALLEY RD WS #05","C","C","D1","There are no treatment plants","SC",16,45,"2016-08-12","y","Bin A",1.20411998265592
"93",92,"CA2701888","LPA57 - MONTEREY COUNTY",2701888,"CACHAGUA MUTUAL WS (#4)","C","C","D1","There are no treatment plants","SC",24,55,"2018-11-20","y","Bin A",1.38021124171161
"94",93,"CA2701918","LPA57 - MONTEREY COUNTY",2701918,"LOMAS DEL SOL MWS","C","C","D1","There are no treatment plants","SC",31,93,"2018-07-19","y","Bin A",1.49136169383427
"95",94,"CA2701959","LPA57 - MONTEREY COUNTY",2701959,"TIERRA VISTA MWC","C","C","D1","T2","SC",19,54,"2016-09-02","y","Bin A",1.27875360095283
"96",95,"CA2702409","LPA57 - MONTEREY COUNTY",2702409,"EL CAMINO WC INC","C","C","D1","There are no treatment plants","SC",31,90,"2016-10-13","y","Bin A",1.49136169383427
"97",96,"CA4010001","DISTRICT 06 - SANTA BARBARA",4010001,"ARROYO GRANDE, WATER DEPARTMENT","C","C","D4","T2","C1",6783,17641,"2017-08-29","y","Bin D",3.83142181706502
"98",97,"CA4010003","DISTRICT 06 - SANTA BARBARA",4010003,"SAN MIGUELITO MWC","C","C","D2","T1","SC",688,1758,"2019-08-27","y","Bin A",2.83758843823551
"99",98,"CA4010004","DISTRICT 06 - SANTA BARBARA",4010004,"GROVER BEACH WATER DEPARTMENT","C","C","D3","T1","C1",5258,13593,"2020-03-05","y","Bin C",3.72082058177034
"100",99,"CA4010011","DISTRICT 06 - SANTA BARBARA",4010011,"MORRO BAY PW DEPT - WATER DIVISION","C","C","D3","T2","C1",5532,10234,"2018-09-13","y","Bin C",3.74288217143727
"101",100,"CA4010012","DISTRICT 06 - SANTA BARBARA",4010012,"HERITAGE RANCH CSD","C","C","D2","T3","C1",1944,3428,"2018-05-29","y","Bin B",3.28869626059026
"102",101,"CA4010014","DISTRICT 06 - SANTA BARBARA",4010014,"CAMBRIA COMM SERVICES DIST","C","C","D2","T3","C1",4034,6032,"2019-03-14","y","Bin C",3.60573589387675
"103",102,"CA4010016","DISTRICT 06 - SANTA BARBARA",4010016,"LOS OSOS COMMUNITY SERVICES DISTRICT","C","C","D2","T2","C1",2765,7086,"2019-12-13","y","Bin B",3.44169513564072
"104",103,"CA4010018","DISTRICT 06 - SANTA BARBARA",4010018,"GOLDEN STATE WATER COMPANY - NIPOMO","C","C","D2","T1","C1",1505,4415,"2017-05-24","y","Bin B",3.17753649992986
"105",104,"CA4010026","DISTRICT 06 - SANTA BARBARA",4010026,"NIPOMO COMM SERVICES DIST","C","C","D3","TD","C1",4398,13173,"2018-02-15","y","Bin C",3.64325522502477
"106",105,"CA4010027","DISTRICT 06 - SANTA BARBARA",4010027,"NACIMIENTO WATER COMPANY","C","C","D2","T3","SC",653,1828,"2019-10-10","y","Bin A",2.81491318127507
"107",106,"CA4010081","DISTRICT 06 - SANTA BARBARA",4010081,"WOODLANDS DEVELOPMENT","C","C","D2","TD","SC",1137,2876,"2018-12-17","y","Bin B",3.05576046468773
"108",107,"CA4210001","DISTRICT 06 - SANTA BARBARA",4210001,"CARPINTERIA VALLEY WATER DISTRICT","C","C","D3","T1","C1",3992,15346,"2019-02-06","y","Bin C",3.60119053261533
"109",108,"CA4210003","DISTRICT 06 - SANTA BARBARA",4210003,"GUADALUPE WATER DEPARTMENT","C","C","D2","T2","DAVCL",2219,7517,"2017-09-19","y","Bin B",3.34615730223201
"110",109,"CA4210006","DISTRICT 06 - SANTA BARBARA",4210006,"LOMPOC-CITY WATER UTILITY DIV","C","C","D3","T3","C1",9818,40759,"2019-02-26","y","Bin D",3.99202302776385
